Company / Project,Deal Date,Deal Size (USD),Deal Type,Key Investors Involved / Acquirer,Post-Valuation (USD),Sector & Key Details
"Crypto.com","July 16, 2026","$400M","Strategic Round","Citadel Securities (Sole)","$20B","CEX; first institutional funding; expanding into derivatives/tokenization"
"OKX","March 2026","Undisclosed","Strategic Equity","Intercontinental Exchange (ICE)","$25B","CEX; board seat for ICE; June 2026 JV for U.S. operations"
"Binance","March 2025","$2.0B","Strategic Funding","MGX (Lead, Abu Dhabi Sovereign Fund)","Undisclosed","CEX; massive sovereign wealth fund investment"
"Polymarket","Early 2026","$2.0B","Venture Round","Consortium of VCs","$9B","Decentralized prediction markets; record volume in election cycle"
"Kalshi","May 2026","$1.2B","Series F","a16z crypto, Coatue, Paradigm, Sequoia","Undisclosed","Regulated prediction markets; derivative contracts expansion"
"Bullish","Early 2026","$4.2B","M&A Acquisition","Bullish (Acquirer) of Equiniti","N/A","Large-scale TradFi registration & administration services acquisition"
"Coinbase","2026","$2.9B","M&A Acquisition","Coinbase (Acquirer) of Deribit","N/A","Deribit derivatives exchange acquisition to scale offshore offerings"
"Ripple","November 2025","$500M","Strategic Round","Citadel Securities (Lead), Fortress","$40B","Cross-border payments; institutional market expansion"
"Kraken","November 2025","$800M","Strategic Funding","Citadel Securities ($200M), VC Syndicate","$20B","Centralized Exchange; gearing up for public listing"
"Kraken","Late 2025","$1.5B","M&A Acquisition","Kraken (Acquirer) of NinjaTrader","N/A","Futures & forex brokerage acquisition to offer traditional derivatives"
"Dunamu (Upbit)","May 2026","$670M","Strategic Inv.","Hana Financial Group","Undisclosed","South Korean CEX operator expanding financial footprint"
"Digital Asset","June 2026","$355M","Strategic Raise","a16z crypto (Lead)","Undisclosed","Infrastructure; developer of the Canton Network"
"Morpho Labs","June 2026","$175M","Strategic Round","Paradigm, a16z crypto, Ribbit (Co-Leads)","Undisclosed","DeFi lending/borrowing optimizer protocol"
"Alpaca","July 2026","$135M","Strategic Growth","Venture Syndicate","Undisclosed","Agent-first brokerage infrastructure for tokenized asset markets"
"EDX Markets","July 2026","$76M","Series C","SBI Holdings (Lead), Citadel (Founding)","Undisclosed","Institutional Exchange; expanding clearing and trust bank structures"
"M0","August 2025","$40M","Series B","Polychain, Ribbit, Pantera","Undisclosed","Institutional-grade stablecoin infrastructure"
